,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
chlorides,0.02108851389021986,0.034704437435616346,0.0,0.0177545364111504,0.004827096637209595,0.0019139421945399972
citric_acid,0.019721246304726412,0.03588306850898614,0.0,0.015720514856304334,0.005392652888899121,0.0005154717753847417
density,0.018155179749551355,0.04434966191194276,0.0,0.03697863893488828,0.030214803580817035,0.006882750324878736
fixed_acidity,0.0083769738945624,0.036621161389912636,0.0,0.01801306953807934,0.009991610350577386,0.0032116726635885284
free_sulfur_dioxide,0.00899317351699725,0.025698160259341414,0.0,0.012179972002378681,0.011148401041844922,0.005362749679846372
pH,0.006588870087212159,0.03782243572642047,0.0,0.00488601934467992,0.005762345181718438,0.0029899475713233733
residual_sugar,0.009062964674158453,0.04326023679887047,0.0,0.039930455579222715,0.03052109700975688,0.002295805119790674
sulphates,0.008401546177682262,0.032011130345490066,0.0,0.014299661016914749,0.005889903156152557,0.0054923591610230044
total_sulfur_dioxide,0.016636777241211223,0.03238744233072943,0.0,0.019594286118564234,0.02408127962042289,0.006822636920193003
volatile_acidity,0.018938046484595024,0.03284036632926162,0.0,0.015325314078825172,0.00814972974427691,0.005020560367710644
